,Date,MOY,DOW,HolidayTomorrow,Temp,Temp_NextForecast,Precipitation,Prec_NextForecast,Wind
0,1997-01-03,1,5,0,39,40.0,0.0,0.0,4.33
1,1997-01-04,1,6,0,39,45.0,0.0,0.2,3.86
2,1997-01-05,1,7,0,46,49.0,0.16,0.0,9.73
3,1997-01-06,1,1,0,45,36.0,0.0,0.0,6.86
4,1997-01-07,1,2,0,34,41.0,0.01,0.1,7.8
5,1997-01-08,1,3,0,38,31.0,0.09,0.0,8.7
6,1997-01-09,1,4,0,30,21.0,0.05,0.2,16.46
7,1997-01-10,1,5,0,22,35.0,0.15,0.5,3.1
8,1997-01-11,1,6,0,34,37.0,0.6,0.0,9.1
9,1997-01-12,1,7,0,38,29.0,2.15,0.1,9.76
10,1997-01-13,1,1,0,31,14.0,0.0,0.0,17.9
11,1997-01-14,1,2,0,14,26.0,0.0,0.0,2.2
12,1997-01-15,1,3,0,27,39.0,0.02,1.7,8.23
13,1997-01-16,1,4,0,39,36.0,1.22,0.0,11.26
14,1997-01-17,1,5,0,40,37.0,0.0,0.8,19.76
15,1997-01-18,1,6,0,36,32.0,0.7,0.2,9.23
16,1997-01-19,1,7,1,34,37.0,0.14,0.1,11.2
17,1997-01-20,1,1,0,37,35.0,0.17,0.0,6.16
18,1997-01-21,1,2,0,39,37.0,0.05,3.3,18.83
19,1997-01-22,1,3,0,40,26.0,1.3,0.0,21.8
20,1997-01-23,1,4,0,27,31.0,0.1,0.0,11.76
21,1997-01-24,1,5,0,30,28.0,0.01,0.1,3.7
22,1997-01-25,1,6,0,29,0.0,0.08,0.0,12.86
23,1997-01-26,1,7,0,0,38.0,0.0,0.4,0.36
24,1997-01-27,1,1,0,37,58.0,0.4,0.0,10.5
25,1997-01-28,1,2,0,60,60.0,0.0,0.0,1.83
26,1997-01-29,1,3,0,60,60.0,0.0,0.0,0.0
27,1997-01-30,1,4,0,60,44.0,0.0,0.3,0.0
28,1997-01-31,1,5,0,43,37.0,0.37,0.7,11.26
29,1997-02-01,2,6,0,38,30.0,0.55,0.2,5.2
30,1997-02-02,2,7,0,32,32.0,0.15,0.1,9.03
31,1997-02-03,2,1,0,32,20.0,0.04,0.0,4.93
32,1997-02-04,2,2,0,21,6.0,0.0,0.0,3.83
33,1997-02-05,2,3,0,6,34.0,0.05,2.6,13.76
34,1997-02-06,2,4,0,36,39.0,2.42,0.0,5.93
35,1997-02-07,2,5,0,41,40.0,0.0,0.0,4.2
36,1997-02-08,2,6,0,40,62.0,0.0,0.0,4.2
37,1997-02-09,2,7,0,58,59.0,0.0,0.0,5.8
38,1997-02-10,2,1,0,56,30.0,0.0,0.0,12.93
39,1997-02-11,2,2,0,29,42.0,0.0,0.0,2.7
40,1997-02-12,2,3,0,39,35.0,0.0,0.0,5.16
41,1997-02-13,2,4,0,38,43.0,0.0,0.0,7.4
42,1997-02-14,2,5,0,42,44.0,0.0,0.0,0.0
43,1997-02-15,2,6,0,47,26.0,0.0,0.0,2.2
44,1997-02-16,2,7,1,27,32.0,0.0,0.0,3.06
