,Date,MOY,DOW,HolidayTomorrow,Temp,Temp_NextForecast,Precipitation,Prec_NextForecast,Wind,picnic,new_hat,hat,WeekendTomorrow,naive_prediction,conditions,is_picnic,is_work,prob_cals,picnic_roll,rand_roll,medium_roll,block_picnic_due_to_last
0,1997-01-03,1,5,0,39,40.0,0.0,0.0,4.33,0,0,1,0,0,good,False,True,0.5,False,False,True,False
1,1997-01-04,1,6,0,39,45.0,0.0,0.2,3.86,0,0,1,1,0,good,False,True,0.5,False,False,True,False
2,1997-01-05,1,7,0,46,49.0,0.16,0.0,9.73,0,0,0,1,0,good,False,False,0.5,False,False,True,True
3,1997-01-06,1,1,0,45,36.0,0.0,0.0,6.86,0,0,0,0,0,good,False,False,0.5,False,False,False,True
4,1997-01-07,1,2,0,34,41.0,0.01,0.1,7.8,0,0,1,0,0,good,False,True,0.0,False,False,False,False
5,1997-01-08,1,3,0,38,31.0,0.09,0.0,8.7,0,0,1,0,1,good,False,True,0.0,False,False,False,False
6,1997-01-09,1,4,0,30,21.0,0.05,0.2,16.46,0,0,1,0,1,good,False,True,0.0,False,False,False,False
7,1997-01-10,1,5,0,22,35.0,0.15,0.5,3.1,0,0,1,0,1,good,False,True,0.0,False,False,False,False
8,1997-01-11,1,6,0,34,37.0,0.6,0.0,9.1,0,0,1,1,1,good,False,True,0.0,False,False,False,False
9,1997-01-12,1,7,0,38,29.0,2.15,0.1,9.76,0,0,0,1,0,good,False,False,0.0,False,False,False,False
10,1997-01-13,1,1,0,31,14.0,0.0,0.0,17.9,0,0,0,0,0,good,False,False,0.0,False,False,False,False
11,1997-01-14,1,2,0,14,26.0,0.0,0.0,2.2,0,0,1,0,1,good,False,True,0.0,False,False,False,False
12,1997-01-15,1,3,0,27,39.0,0.02,1.7,8.23,0,0,1,0,0,good,False,True,0.0,False,False,False,False
13,1997-01-16,1,4,0,39,36.0,1.22,0.0,11.26,0,0,1,0,1,good,False,True,0.0,False,False,False,False
14,1997-01-17,1,5,0,40,37.0,0.0,0.8,19.76,0,0,1,0,1,good,False,True,0.5,False,False,True,False
15,1997-01-18,1,6,0,36,32.0,0.7,0.2,9.23,0,0,1,1,1,good,False,True,0.0,False,False,False,False
16,1997-01-19,1,7,1,34,37.0,0.14,0.1,11.2,0,0,0,1,0,good,False,False,0.0,False,False,False,False
17,1997-01-20,1,1,0,37,35.0,0.17,0.0,6.16,0,0,0,0,0,good,False,False,0.0,False,False,False,False
18,1997-01-21,1,2,0,39,37.0,0.05,3.3,18.83,0,1,1,0,1,good,False,True,0.5,False,False,False,False
19,1997-01-22,1,3,0,40,26.0,1.3,0.0,21.8,0,0,1,0,1,good,False,True,0.0,False,False,False,False
20,1997-01-23,1,4,0,27,31.0,0.1,0.0,11.76,0,0,1,0,1,good,False,True,0.0,False,False,False,False
21,1997-01-24,1,5,0,30,28.0,0.01,0.1,3.7,0,0,1,0,1,good,False,True,0.0,False,False,False,False
22,1997-01-25,1,6,0,29,0.0,0.08,0.0,12.86,0,0,1,1,1,good,False,True,0.0,False,False,False,False
23,1997-01-26,1,7,0,0,38.0,0.0,0.4,0.36,0,0,0,1,0,good,False,False,0.0,False,False,False,False
24,1997-01-27,1,1,0,37,58.0,0.4,0.0,10.5,0,0,0,0,0,good,False,False,0.0,False,False,False,False
25,1997-01-28,1,2,0,60,60.0,0.0,0.0,1.83,0,0,0,0,0,good,False,True,0.0,False,False,False,False
26,1997-01-29,1,3,0,60,60.0,0.0,0.0,0.0,0,0,0,0,0,good,False,True,0.0,False,False,False,False
27,1997-01-30,1,4,0,60,44.0,0.0,0.3,0.0,0,0,0,0,0,good,False,True,0.0,False,False,False,False
28,1997-01-31,1,5,0,43,37.0,0.37,0.7,11.26,0,0,1,0,1,good,False,True,0.8,False,False,True,False
29,1997-02-01,2,6,0,38,30.0,0.55,0.2,5.2,0,0,1,1,1,good,False,True,0.0,False,False,False,False
30,1997-02-02,2,7,0,32,32.0,0.15,0.1,9.03,0,0,0,1,0,good,False,False,0.0,False,False,False,False
31,1997-02-03,2,1,0,32,20.0,0.04,0.0,4.93,0,0,0,0,0,good,False,False,0.0,False,False,False,False
32,1997-02-04,2,2,0,21,6.0,0.0,0.0,3.83,0,0,1,0,1,good,False,True,0.0,False,False,False,False
33,1997-02-05,2,3,0,6,34.0,0.05,2.6,13.76,0,0,1,0,1,good,False,True,0.0,False,False,False,False
34,1997-02-06,2,4,0,36,39.0,2.42,0.0,5.93,0,1,1,0,1,good,False,True,0.0,False,False,False,False
35,1997-02-07,2,5,0,41,40.0,0.0,0.0,4.2,0,0,1,0,0,good,False,True,0.5,False,False,True,False
36,1997-02-08,2,6,0,40,62.0,0.0,0.0,4.2,0,0,1,1,0,good,False,True,0.5,False,False,False,False
37,1997-02-09,2,7,0,58,59.0,0.0,0.0,5.8,0,0,0,1,0,good,False,False,0.0,False,False,False,False
38,1997-02-10,2,1,0,56,30.0,0.0,0.0,12.93,0,0,0,0,0,good,False,False,0.0,False,False,False,False
39,1997-02-11,2,2,0,29,42.0,0.0,0.0,2.7,0,0,1,0,0,good,False,True,0.0,False,False,False,False
40,1997-02-12,2,3,0,39,35.0,0.0,0.0,5.16,0,0,1,0,1,good,False,True,0.5,False,False,True,False
41,1997-02-13,2,4,0,38,43.0,0.0,0.0,7.4,0,0,1,0,0,good,False,True,0.0,False,False,False,False
42,1997-02-14,2,5,0,42,44.0,0.0,0.0,0.0,0,0,1,0,0,good,False,True,0.5,False,False,True,False
43,1997-02-15,2,6,0,47,26.0,0.0,0.0,2.2,0,0,1,1,1,good,False,True,0.5,False,False,False,False
44,1997-02-16,2,7,1,27,32.0,0.0,0.0,3.06,0,0,0,1,0,good,False,False,0.0,False,False,False,False
45,1997-02-17,2,1,0,35,43.0,0.0,0.0,1.56,0,0,0,0,0,good,False,False,0.0,False,False,False,False
46,1997-02-18,2,2,0,44,45.0,0.0,0.1,4.06,0,0,1,0,0,good,False,True,0.5,False,False,False,False
47,1997-02-19,2,3,0,44,46.0,0.06,0.0,0.0,0,0,1,0,0,good,False,True,0.5,False,False,True,False
48,1997-02-20,2,4,0,46,49.0,0.0,0.0,0.86,0,0,1,0,0,good,False,True,0.5,False,False,False,False
49,1997-02-21,2,5,0,47,57.0,0.0,0.0,6.56,0,0,0,0,0,good,False,True,0.5,False,False,True,False
50,1997-02-22,2,6,0,54,51.0,0.0,0.0,2.13,0,1,1,1,0,good,False,True,0.5,False,False,False,False
51,1997-02-23,2,7,0,55,46.0,0.0,0.0,2.76,0,0,0,1,0,good,False,False,0.5,False,False,True,False
52,1997-02-24,2,1,0,44,46.0,0.0,0.0,7.73,0,0,0,0,0,good,False,False,0.5,False,False,False,False
53,1997-02-25,2,2,0,45,47.0,0.0,0.0,6.16,0,0,1,0,0,good,False,True,0.5,False,False,False,False
54,1997-02-26,2,3,0,44,52.0,0.0,0.0,3.63,0,0,1,0,0,good,False,True,0.5,False,False,False,False
55,1997-02-27,2,4,0,49,52.0,0.0,0.0,6.46,0,0,1,0,0,good,False,True,0.5,False,False,False,False
56,1997-02-28,2,5,0,55,49.0,0.0,0.0,1.83,0,0,1,0,0,good,False,True,0.5,False,False,True,False
57,1997-03-01,3,6,0,46,40.0,0.04,0.0,4.43,0,0,1,1,0,good,False,True,0.5,False,False,True,False
58,1997-03-02,3,7,0,39,54.0,0.0,0.0,18.8,0,0,0,1,0,good,False,False,0.5,False,False,True,False
59,1997-03-03,3,1,0,51,50.0,0.0,0.0,4.9,0,0,0,0,0,good,False,False,0.5,False,False,False,False
60,1997-03-04,3,2,0,51,43.0,0.0,0.0,3.86,0,0,1,0,0,good,False,True,0.5,False,False,True,False
61,1997-03-05,3,3,0,42,14.0,0.0,0.0,1.86,0,0,1,0,1,good,False,True,0.5,False,False,True,False
62,1997-03-06,3,4,0,14,29.0,0.0,0.0,1.4,0,0,1,0,1,good,False,True,0.0,False,False,False,False
63,1997-03-07,3,5,0,28,-10.0,0.0,0.0,3.13,0,0,1,0,1,good,False,True,0.0,False,False,False,False
64,1997-03-08,3,6,0,-10,26.0,0.0,0.0,0.4,0,0,1,1,1,good,False,True,0.0,False,False,False,False
65,1997-03-09,3,7,0,27,13.0,0.0,0.0,7.2,0,0,0,1,0,good,False,False,0.0,False,False,False,False
66,1997-03-10,3,1,0,14,25.0,0.0,0.0,4.46,0,1,0,0,0,good,False,False,0.0,False,False,False,False
67,1997-03-11,3,2,0,26,39.0,0.0,0.0,1.93,0,0,1,0,0,good,False,True,0.0,False,False,False,False
68,1997-03-12,3,3,0,38,37.0,0.0,0.0,8.86,0,0,1,0,1,good,False,True,0.0,False,False,False,False
69,1997-03-13,3,4,0,34,38.0,0.0,0.0,6.2,0,0,1,0,1,good,False,True,0.0,False,False,False,False
70,1997-03-14,3,5,0,37,37.0,0.0,0.0,6.43,0,0,1,0,1,good,False,True,0.0,False,False,False,False
71,1997-03-15,3,6,0,37,64.0,0.0,0.7,6.43,0,0,1,1,0,good,False,True,0.0,False,False,False,False
72,1997-03-16,3,7,0,63,83.0,0.75,0.3,6.23,0,0,0,1,0,good,False,False,0.3,False,False,True,False
73,1997-03-17,3,1,0,76,59.0,0.49,0.6,5.16,0,0,0,0,0,good,False,False,0.3,False,False,False,False
74,1997-03-18,3,2,0,56,55.0,0.62,0.4,4.6,0,0,1,0,0,good,False,True,0.3,False,False,True,False
75,1997-03-19,3,3,0,56,86.0,0.49,0.6,4.83,0,0,1,0,0,good,False,True,0.3,False,False,False,False
76,1997-03-20,3,4,0,79,83.0,0.5,1.1,4.53,0,0,1,0,0,good,False,True,0.3,False,False,False,False
77,1997-03-21,3,5,0,76,68.0,1.13,0.2,3.33,0,0,1,0,1,good,False,True,0.0,False,False,False,False
78,1997-03-22,3,6,0,65,46.0,0.14,0.1,6.93,0,0,0,1,0,good,False,True,0.0,False,False,False,False
79,1997-03-23,3,7,0,48,57.0,0.12,0.6,9.33,0,0,0,1,0,good,False,False,0.5,False,False,False,False
80,1997-03-24,3,1,0,53,72.0,0.46,0.2,6.16,0,0,0,0,0,good,False,False,0.8,False,False,True,False
81,1997-03-25,3,2,0,66,63.0,0.18,0.7,5.73,0,0,0,0,0,good,False,True,0.0,False,False,False,False
82,1997-03-26,3,3,0,69,79.0,0.97,0.3,6.9,0,0,1,0,0,good,False,True,0.0,False,False,False,False
83,1997-03-27,3,4,0,74,52.0,0.24,0.4,6.83,0,1,0,0,0,good,False,True,0.0,False,False,False,False
84,1997-03-28,3,5,0,51,42.0,0.66,0.0,5.06,0,0,1,0,0,good,False,True,0.8,False,False,False,False
85,1997-03-29,3,6,0,45,44.0,0.0,0.0,5.1,0,0,1,1,0,good,False,True,0.5,False,False,False,False
86,1997-03-30,3,7,0,42,47.0,0.0,0.0,10.93,0,0,0,1,0,good,False,False,0.5,False,False,True,False
87,1997-03-31,3,1,0,48,45.0,0.0,0.0,3.06,0,0,0,0,0,good,False,False,0.5,False,False,False,False
88,1997-04-01,4,2,0,47,51.0,0.01,0.3,5.46,0,0,1,0,0,good,False,True,0.5,False,False,True,False
89,1997-04-02,4,3,0,56,71.0,0.41,0.2,5.0,0,0,1,0,0,good,False,True,0.3,False,False,False,False
90,1997-04-03,4,4,0,73,74.0,0.11,0.0,3.33,0,0,0,0,0,good,False,True,0.0,False,False,False,False
91,1997-04-04,4,5,0,73,70.0,0.0,0.0,5.13,0,0,0,0,0,good,False,True,0.0,False,False,False,False
92,1997-04-05,4,6,0,71,70.0,0.04,0.0,8.4,0,0,0,1,0,good,False,True,0.0,False,False,False,False
93,1997-04-06,4,7,0,72,71.0,0.04,0.0,8.86,0,0,0,1,0,good,False,False,0.0,False,False,False,False
94,1997-04-07,4,1,0,70,15.0,0.0,0.0,6.06,0,0,0,0,0,good,False,False,0.0,False,False,False,False
95,1997-04-08,4,2,0,15,20.0,0.0,0.0,3.0,0,0,1,0,1,good,False,True,0.0,False,False,False,False
96,1997-04-09,4,3,0,21,8.0,0.0,0.0,2.56,0,0,1,0,1,good,False,True,0.0,False,False,False,False
97,1997-04-10,4,4,0,8,23.0,0.0,0.0,2.66,0,0,1,0,1,good,False,True,0.0,False,False,False,False
