,Date,MOY,DOW,HolidayTomorrow,Temp,Temp_NextForecast,Precipitation,Prec_NextForecast,Wind,picnic,new_hat,hat,is_sick,WeekendTomorrow,naive_prediction
0,1997-01-03,1,5,0,39,39,0,0,4.33,0,0,0,1,0,1
1,1997-01-04,1,6,0,39,49,0,0.2,3.86,0,0,0,1,1,0
2,1997-01-05,1,7,0,46,48,0.16,0,9.73,0,0,0,1,1,0
3,1997-01-06,1,1,0,45,36,0,0,6.86,0,0,0,1,0,0
4,1997-01-07,1,2,0,34,38,0.01,0.1,7.8,0,0,0,1,0,0
5,1997-01-08,1,3,0,38,29,0.09,0.1,8.7,0,0,0,1,0,0
6,1997-01-09,1,4,0,30,21,0.05,0.1,16.46,0,0,0,1,0,0
7,1997-01-10,1,5,0,22,31,0.15,0.5,3.1,0,0,1,0,0,0
8,1997-01-11,1,6,0,34,40,0.6,3.1,9.1,0,0,1,0,1,0
9,1997-01-12,1,7,0,38,28,2.15,0,9.76,0,0,0,0,1,0
10,1997-01-13,1,1,0,31,14,0,0,17.9,0,0,0,0,0,1
11,1997-01-14,1,2,0,14,28,0,0,2.2,0,0,1,0,0,1
12,1997-01-15,1,3,0,27,41,0.02,0,8.23,0,0,1,0,0,1
13,1997-01-16,1,4,0,39,39,1.22,0.2,11.26,0,0,1,0,0,1
14,1997-01-17,1,5,0,40,33,0,0.7,19.76,0,0,1,0,0,1
15,1997-01-18,1,6,0,36,36,0.7,0.1,9.23,0,0,1,0,1,0
16,1997-01-19,1,7,1,34,40,0.14,0.1,11.2,0,0,0,0,1,0
17,1997-01-20,1,1,0,37,41,0.17,0.1,6.16,0,0,0,0,0,1
18,1997-01-21,1,2,0,39,43,0.05,1.2,18.83,0,0,1,0,0,1
19,1997-01-22,1,3,0,40,28,1.3,0.2,21.8,0,0,1,0,0,1
20,1997-01-23,1,4,0,27,29,0.1,0,11.76,0,0,1,0,0,1
21,1997-01-24,1,5,0,30,32,0.01,0.1,3.7,0,0,1,0,0,1
22,1997-01-25,1,6,0,29,0,0.08,0,12.86,0,0,1,0,1,0
23,1997-01-26,1,7,0,0,39,0,0.5,0.36,0,0,0,0,1,0
24,1997-01-27,1,1,0,37,55,0.4,0,10.5,0,0,0,0,0,0
25,1997-01-28,1,2,0,60,60,0,0,1.83,0,0,0,0,0,0
26,1997-01-29,1,3,0,60,59,0,0,0,0,0,0,0,0,1
27,1997-01-30,1,4,0,60,45,0,0.4,0,0,0,0,1,0,1
28,1997-01-31,1,5,0,43,39,0.37,0.6,11.26,0,0,0,1,0,0
29,1997-02-01,2,6,0,38,31,0.55,0.2,5.2,0,1,0,1,1,0
30,1997-02-02,2,7,0,32,32,0.15,0,9.03,0,0,0,1,1,0
31,1997-02-03,2,1,0,32,21,0.04,0,4.93,0,0,0,1,0,0
32,1997-02-04,2,2,0,21,6,0,0,3.83,0,0,0,1,0,0
33,1997-02-05,2,3,0,6,38,0.05,3,13.76,0,0,0,1,0,0
34,1997-02-06,2,4,0,36,45,2.42,0.2,5.93,0,0,0,1,0,0
35,1997-02-07,2,5,0,41,39,0,0,4.2,0,0,0,1,0,0
36,1997-02-08,2,6,0,40,53,0,0,4.2,0,0,1,0,1,0
37,1997-02-09,2,7,0,58,54,0,0,5.8,0,0,0,0,1,0
38,1997-02-10,2,1,0,56,31,0,0,12.93,0,0,0,0,0,1
39,1997-02-11,2,2,0,29,37,0,0,2.7,0,0,1,0,0,1
40,1997-02-12,2,3,0,39,41,0,0,5.16,0,0,1,0,0,1
41,1997-02-13,2,4,0,38,45,0,0,7.4,0,0,1,0,0,1
42,1997-02-14,2,5,0,42,48,0,0,0,0,0,1,0,0,1
43,1997-02-15,2,6,0,47,27,0,0,2.2,0,0,1,0,1,0
44,1997-02-16,2,7,1,27,33,0,0,3.06,0,0,0,0,1,0
45,1997-02-17,2,1,0,35,44,0,0,1.56,0,0,0,0,0,1
46,1997-02-18,2,2,0,44,44,0,0.1,4.06,0,0,0,0,0,1
47,1997-02-19,2,3,0,44,48,0.06,0,0,0,0,0,0,0,1
48,1997-02-20,2,4,0,46,48,0,0,0.86,0,0,1,0,0,1
